,Ping (ms),Download (Mbit/s),Upload (Mbit/s),Datetime,Date,Time
81,18.758,91.36,14.05,24/11/2016 14:17,2016-11-24,14:17:00
82,19.028,92.3,14.32,24/11/2016 14:17,2016-11-24,14:17:00
83,19.764,89.2,13.8,24/11/2016 14:18,2016-11-24,14:18:00
84,18.557000000000002,92.19,14.08,24/11/2016 14:18,2016-11-24,14:18:00
85,22.456,87.69,10.02,24/11/2016 14:19,2016-11-24,14:19:00
86,17.629,92.27,13.87,24/11/2016 14:19,2016-11-24,14:19:00
87,19.136,92.25,13.98,24/11/2016 14:20,2016-11-24,14:20:00
88,20.613000000000003,90.37,13.87,24/11/2016 14:20,2016-11-24,14:20:00
89,19.783,90.88,14.07,24/11/2016 14:21,2016-11-24,14:21:00
90,17.66,92.03,13.85,24/11/2016 14:21,2016-11-24,14:21:00
91,22.224,91.72,13.64,24/11/2016 14:22,2016-11-24,14:22:00
92,20.583000000000002,91.7,14.01,24/11/2016 14:22,2016-11-24,14:22:00
93,18.076,89.82,13.96,24/11/2016 14:23,2016-11-24,14:23:00
94,22.320999999999998,90.56,13.94,24/11/2016 14:23,2016-11-24,14:23:00
95,21.325,87.97,13.49,24/11/2016 14:24,2016-11-24,14:24:00
96,24.127,88.75,13.67,24/11/2016 14:24,2016-11-24,14:24:00
97,20.6,90.74,14.07,24/11/2016 14:25,2016-11-24,14:25:00
98,23.999000000000002,91.15,13.75,24/11/2016 14:25,2016-11-24,14:25:00
99,18.905,91.64,14.09,24/11/2016 14:26,2016-11-24,14:26:00
100,18.314,92.07,13.67,24/11/2016 14:26,2016-11-24,14:26:00
101,19.381,89.03,13.66,24/11/2016 14:27,2016-11-24,14:27:00
102,20.785999999999998,90.25,13.53,24/11/2016 14:27,2016-11-24,14:27:00
103,20.706999999999997,91.49,14.02,24/11/2016 14:28,2016-11-24,14:28:00
104,22.344,91.72,14.08,24/11/2016 14:28,2016-11-24,14:28:00
105,22.241,92.35,14.29,24/11/2016 14:29,2016-11-24,14:29:00
106,22.831,90.68,13.1,24/11/2016 14:29,2016-11-24,14:29:00
107,25.201999999999998,89.8,14.08,24/11/2016 14:30,2016-11-24,14:30:00
108,20.485,90.51,14.0,24/11/2016 14:30,2016-11-24,14:30:00
109,21.81,91.39,13.97,24/11/2016 14:31,2016-11-24,14:31:00
110,19.475,92.24,14.11,24/11/2016 14:32,2016-11-24,14:32:00
111,18.487000000000002,92.33,14.34,24/11/2016 14:32,2016-11-24,14:32:00
112,18.455,92.22,14.27,24/11/2016 14:32,2016-11-24,14:32:00
113,19.053,92.28,14.03,24/11/2016 14:33,2016-11-24,14:33:00
114,25.75,92.09,13.74,24/11/2016 14:33,2016-11-24,14:33:00
115,21.785999999999998,91.76,13.91,24/11/2016 14:34,2016-11-24,14:34:00
116,22.485,90.72,13.76,24/11/2016 14:34,2016-11-24,14:34:00
117,24.378,91.46,13.97,24/11/2016 14:35,2016-11-24,14:35:00
118,17.982,92.03,13.66,24/11/2016 14:36,2016-11-24,14:36:00
119,22.381,90.17,13.99,24/11/2016 14:36,2016-11-24,14:36:00
120,17.404,92.39,13.96,24/11/2016 14:37,2016-11-24,14:37:00
121,17.221,91.33,14.32,24/11/2016 14:37,2016-11-24,14:37:00
122,19.506,92.16,13.84,24/11/2016 14:38,2016-11-24,14:38:00
123,18.704,91.85,13.81,24/11/2016 14:38,2016-11-24,14:38:00
124,20.811999999999998,92.6,13.86,24/11/2016 14:39,2016-11-24,14:39:00
125,20.928,91.6,13.64,24/11/2016 14:39,2016-11-24,14:39:00
126,22.561,86.31,13.56,24/11/2016 14:40,2016-11-24,14:40:00
127,21.889,91.2,14.11,24/11/2016 14:40,2016-11-24,14:40:00
128,21.046999999999997,91.95,14.12,24/11/2016 14:41,2016-11-24,14:41:00
129,17.954,92.06,14.15,24/11/2016 14:41,2016-11-24,14:41:00
130,18.192999999999998,92.38,14.39,24/11/2016 14:42,2016-11-24,14:42:00
131,23.33,91.29,14.19,24/11/2016 14:42,2016-11-24,14:42:00
132,20.805,92.26,14.5,24/11/2016 14:43,2016-11-24,14:43:00
133,20.67,92.32,14.05,24/11/2016 14:43,2016-11-24,14:43:00
134,18.250999999999998,90.87,13.83,24/11/2016 14:44,2016-11-24,14:44:00
135,19.772000000000002,92.56,14.0,24/11/2016 14:44,2016-11-24,14:44:00
136,19.44,92.21,14.25,24/11/2016 14:45,2016-11-24,14:45:00
137,23.605,91.33,13.26,24/11/2016 14:45,2016-11-24,14:45:00
138,21.145,91.82,14.43,24/11/2016 14:46,2016-11-24,14:46:00
139,19.755,91.21,14.36,24/11/2016 14:46,2016-11-24,14:46:00
140,20.073,91.91,14.32,24/11/2016 14:47,2016-11-24,14:47:00
141,18.29,92.02,14.04,24/11/2016 14:47,2016-11-24,14:47:00
142,21.116999999999997,91.79,14.2,24/11/2016 14:48,2016-11-24,14:48:00
143,20.077,91.94,14.09,24/11/2016 14:48,2016-11-24,14:48:00
144,19.254,92.13,14.47,24/11/2016 14:49,2016-11-24,14:49:00
145,17.752,89.36,13.79,24/11/2016 14:49,2016-11-24,14:49:00
146,19.511,92.31,13.98,24/11/2016 14:50,2016-11-24,14:50:00
147,17.377,89.8,14.38,24/11/2016 14:50,2016-11-24,14:50:00
148,19.755,92.02,13.98,24/11/2016 14:51,2016-11-24,14:51:00
149,20.084,91.3,14.21,24/11/2016 14:51,2016-11-24,14:51:00
150,21.723000000000003,91.95,14.11,24/11/2016 14:52,2016-11-24,14:52:00
151,19.317,92.38,13.73,24/11/2016 14:52,2016-11-24,14:52:00
152,17.082,92.25,13.93,24/11/2016 14:53,2016-11-24,14:53:00
153,17.574,91.98,14.3,24/11/2016 14:53,2016-11-24,14:53:00
154,20.555,92.16,14.16,24/11/2016 14:54,2016-11-24,14:54:00
155,20.322,91.97,14.41,24/11/2016 14:54,2016-11-24,14:54:00
156,19.424,91.67,14.33,24/11/2016 14:55,2016-11-24,14:55:00
157,19.423,90.08,13.87,24/11/2016 14:55,2016-11-24,14:55:00
158,22.679000000000002,88.99,14.23,24/11/2016 14:56,2016-11-24,14:56:00
159,23.688000000000002,90.98,14.02,24/11/2016 14:56,2016-11-24,14:56:00
160,19.557000000000002,91.82,14.11,24/11/2016 14:57,2016-11-24,14:57:00
161,18.817999999999998,58.48,13.72,24/11/2016 14:57,2016-11-24,14:57:00
162,17.648,88.68,14.25,24/11/2016 14:58,2016-11-24,14:58:00
163,18.766,92.64,14.16,24/11/2016 14:58,2016-11-24,14:58:00
164,19.590999999999998,83.73,14.24,24/11/2016 14:59,2016-11-24,14:59:00
165,24.291999999999998,91.74,14.04,24/11/2016 14:59,2016-11-24,14:59:00
166,55.86,91.57,14.22,24/11/2016 15:00,2016-11-24,15:00:00
167,21.093000000000004,91.58,14.26,24/11/2016 15:00,2016-11-24,15:00:00
168,17.416,89.49,14.27,24/11/2016 15:01,2016-11-24,15:01:00
169,18.155,91.34,13.9,24/11/2016 15:02,2016-11-24,15:02:00
170,19.995,91.91,14.29,24/11/2016 15:02,2016-11-24,15:02:00
171,19.726,91.99,14.46,24/11/2016 15:03,2016-11-24,15:03:00
172,26.346999999999998,90.96,14.29,24/11/2016 15:03,2016-11-24,15:03:00
173,21.724,90.93,14.29,24/11/2016 15:04,2016-11-24,15:04:00
174,20.31,91.99,14.08,24/11/2016 15:04,2016-11-24,15:04:00
175,18.902,92.13,14.15,24/11/2016 15:05,2016-11-24,15:05:00
176,19.73,91.9,13.66,24/11/2016 15:05,2016-11-24,15:05:00
177,19.952,74.31,14.41,24/11/2016 15:06,2016-11-24,15:06:00
178,19.048,91.82,14.34,24/11/2016 15:06,2016-11-24,15:06:00
179,20.055999999999997,91.7,14.16,24/11/2016 15:07,2016-11-24,15:07:00
180,20.592,91.73,14.23,24/11/2016 15:07,2016-11-24,15:07:00
181,23.398000000000003,91.87,14.25,24/11/2016 15:08,2016-11-24,15:08:00
182,19.048,92.35,14.26,24/11/2016 15:08,2016-11-24,15:08:00
183,18.941,92.12,13.98,24/11/2016 15:09,2016-11-24,15:09:00
184,20.026,91.77,14.15,24/11/2016 15:09,2016-11-24,15:09:00
185,18.891,91.99,14.13,24/11/2016 15:10,2016-11-24,15:10:00
186,21.565,92.13,12.84,24/11/2016 15:10,2016-11-24,15:10:00
187,20.573,92.15,13.81,24/11/2016 15:11,2016-11-24,15:11:00
